CustomerID,FirstName,LastName,Email,Phone,City,State,LastUpdated
2000,Stacy,Strong,stacy.strong@yahoo.com,9229669444,Bangalore,Karnataka,2026-01-19 09:13:47
2001,Jacqueline,Cannon,jacqueline.cannon@gmail.com,8375653588,Jaipur,Rajasthan,2026-03-26 09:13:47
2002,Austin,Zavala,,8915884877,Ahmedabad,Gujarat,2025-10-08 09:13:47
2003,Stephanie,George,stephanie.george@hotmail.com,9363713362,Mumbai,Maharashtra,2025-10-22 09:13:47
2004,cheyenne,miller,cheyenne.miller@outlook.com,9525968885,New Delhi,Delhi,2025-09-14 09:13:47
2005,Andrea,Potts,andrea.potts@yahoo.com,8167244554,Mumbai,Maharashtra,2026-04-18 09:13:47
2006,Joseph,Williams,joseph.williams@gmail.com,8077022712,Mumbai,Maharashtra,2025-08-28 09:13:47
2007,Austin,Romero,austin.romero@gmail.com,8582774111,Jaipur,Rajasthan,2026-03-12 09:13:47
2008,Debra,Reynolds,debra.reynolds@yahoo.com,8082763495,Bangalore,Karnataka,2026-02-21 09:13:47
2009,Kevin,Horn,kevin.horn@gmail.com,8085909041,Pune,,2026-02-27 09:13:47
2010,teresa,smith,abcgmail.com,8587390637,Pune,Maharashtra,2026-01-21 09:13:47
2011,Brian,Ayala,brian.ayala@hotmail.com,9750544949,Bangalore,Karnataka,2025-09-30 09:13:47
2012,Lisa,Ferguson,lisa.ferguson@hotmail.com,9388720966,Surat,Gujarat,2026-06-12 09:13:47
2013,Michelle,Fleming,michelle.fleming@yahoo.com,8280956844,Lucknow,Uttar Pradesh,2026-06-14 09:13:47
2014,Joann,Tran,joann.tran@icloud.com,9755336141,Chennai,Tamil Nadu,2026-01-01 09:13:47
2015,Brett,Cannon,brett.cannon@outlook.com,8729774830,Lucknow,Uttar Pradesh,2026-06-14 09:13:47
2016,Heather,Jordan,heather.jordan@outlook.com,8960767873,,Maharashtra,2026-04-23 09:13:47
2017,ronald,taylor,ronald.taylor@yahoo.com,8101289985,Bangalore,Karnataka,2025-07-21 09:13:47
2018,Samuel,Prince,samuel.prince@yahoo.com,9355523815,Mumbai,,2026-01-17 09:13:47
2019,Toni,Richardson,toni.richardson@outlook.com,9850533544,Lucknow,Uttar Pradesh,2025-10-07 09:13:47
2020,James,Kim,james.kim@yahoo.com,9187753126,Hyderabad,Telangana,2026-03-26 09:13:47
2021,Brian,Hall,brian.hall@yahoo.com,9411531183,Kanpur,Uttar Pradesh,2026-04-23 09:13:47
2022,Brianna,Perez,brianna.perez@outlook.com,8424920794,Ahmedabad,Gujarat,2025-11-19 09:13:47
2023,Julie,Beasley,wrong_email,8375655526,New Delhi,Delhi,2026-05-23 09:13:47
2024,Laura,Bradley,laura.bradley@icloud.com,8222090132,Ahmedabad,Gujarat,2026-01-31 09:13:47
2025,Vicki,Smith,vicki.smith@hotmail.com,9545738645,Pune,Maharashtra,2026-02-03 09:13:47
2026,Jennifer,Hess,jennifer.hess@icloud.com,9112796188,Chennai,,2026-01-24 09:13:47
2027,Chase,Martinez,chase.martinez@outlook.com,9465338776,Surat,Gujarat,2025-09-26 09:13:47
